Year,Als,Auv,Aux,Bea,Bor,Bur,Cha1,Cha2,Gai,Ger,HLV,IdF,Jur,Lan,LLV,Lux,Mar,NIt,NLo,NRv,Sav,Spa,SLo,SRv,Swi,VSE,VPC,GHDmean,GHDcore
1519,,,,,,13.078666666666663,,,,,,,,,,,-25.891891891891873,,,,,5.988950276243088,,,-2.3903654485050083,,,-2.3036600993717826,5.3441506090808275
1520,,,,,,,,,,,,-17.499588477366274,,,,,-19.891891891891873,,,,,,,,-16.39036544850501,,,-17.927281939254385,-16.39036544850501
1521,,,,,,,,,,,,-7.499588477366274,,,,,,,,,,,,,-17.39036544850501,,,-12.444976962935641,-17.39036544850501
1522,,,,,,9.078666666666663,,,,,,-2.4995884773662738,,,,,,,,,,,,,-2.3903654485050083,,,1.396237580265127,3.3441506090808275
1523,,,,,,-0.9213333333333367,,,,,,-4.399588477366308,,,,,,,,,,,,,-8.390365448505008,,,-4.570429086401551,-4.6558493909191725
1524,,,,,,,,,,,,-16.39958847736628,-15.661805555555588,-25.02722513089006,,,,,,,,,,,,,,-19.02953972127064,-25.02722513089006
1525,,,,,,-5.921333333333337,,,,,,-10.899588477366308,-7.161805555555588,,,,,,,,,,,,,,,-7.994242455418411,-5.921333333333337
1526,,,,,,,,,,,,-5.399588477366308,-1.6618055555555884,,,,,,,,,,,,-10.390365448505008,,,-5.817253160475635,-10.390365448505008
1527,,,,,,16.078666666666663,,,,,,10.100411522633692,14.338194444444412,,,,,,,,,19.988950276243088,,14.601369863013701,,,,15.021518554600311,15.340018264840182
1528,,,,,,9.078666666666663,,,,,,-4.899588477366308,11.338194444444412,,,,,,,,,12.988950276243088,,,-3.3903654485050083,,,5.023171492296569,2.8441506090808275
1529,,,,,,,,,,,,11.600411522633692,18.83819444444441,,,,,,,,,3.988950276243088,,,6.609634551494992,,,10.259297698704046,6.609634551494992
1530,,,,,,-11.921333333333337,,,,,,-17.39958847736628,-16.66180555555559,,,,,,,,,,,,6.609634551494992,,,-9.843273203690053,-2.6558493909191725
1531,,,,,,,,,,,,-3.399588477366308,-5.161805555555588,,,,,,,,,,,,-8.390365448505008,,,-5.6505864938089685,-8.390365448505008
1532,,,,,1.9933333333333394,-5.921333333333337,,,,,,-5.399588477366308,-6.661805555555588,,,,,,,,,,,-23.19863013698631,,,,-7.837604833981641,-9.042210045662102
1533,,,,,8.99333333333334,9.078666666666663,,,,,,-7.399588477366308,-3.1618055555555884,,,,,,,,,,,,-4.390365448505008,,,0.6240481037146196,4.5605448504983315
1534,,,,,-2.0066666666666606,-6.921333333333337,,,,,,-14.399588477366308,-16.66180555555559,,,,,,,,,,,-23.298630136986304,,,,-12.65760483398164,-10.7422100456621
1535,,,,,,3.0786666666666633,,,,,,-2.399588477366308,5.838194444444412,,,,,,,,,,,,,,,2.1724242112482557,3.0786666666666633
1536,,,,,,-17.921333333333337,,,,,,,-7.661805555555588,-8.327225130890042,,,,,,,,,,,,,,-11.303454673259656,-13.12427923211169
1537,,,,,,13.078666666666663,,,,,,-1.4995884773662738,4.338194444444412,,,,,,,-9.240963855421683,,,,-8.19863013698631,,,,-0.3044642717326383,2.4400182648401767
1538,,,,,,-14.921333333333337,,,,,,-23.39958847736628,-14.661805555555588,,,,,,,,,,,,,,,-17.66090912208507,-14.921333333333337
1539,,,,,,-0.9213333333333367,,,,,,-2.4995884773662738,-4.161805555555588,,,,,,,,,,,,,,,-2.527575788751733,-0.9213333333333367
1540,,,,,,-22.921333333333337,,,,,,-21.39958847736628,-31.66180555555559,,,,,,,-17.240963855421683,,-3.011049723756912,,,,,,-19.24694818908676,-22.921333333333337
1541,,,,,,,,,,,,-6.399588477366308,9.838194444444412,,,,,,,,,11.988950276243088,,-11.598630136986287,,,,0.9572315265837261,-11.598630136986287
1542,,,,,,,,,,,,15.100411522633692,22.83819444444441,,,,,,,,,7.988950276243088,,,,,,15.309185414440398,
1543,,,,,,,,,,,,-7.499588477366274,9.838194444444412,,,,,,,,,6.988950276243088,,,,-14.342105263157919,,-1.2536372549591732,
1544,,,,,,,,,,,,-0.49958847736627376,0.3381944444444116,,,,,,,,,,,,,,,-0.08069701646093108,
1545,,,,,,-15.921333333333337,,,,,,-16.39958847736628,-21.66180555555559,,,,,,,,,-10.011049723756912,,,,,,-15.99844427250303,-15.921333333333337
1546,,,,,,-3.9213333333333367,,,,,,-15.499588477366274,-7.661805555555588,,,,,,,,,-9.011049723756912,,,,,,-9.023444272503028,-3.9213333333333367
1547,,,,,,4.078666666666663,,,,,,-7.399588477366308,,,,,,,,,,,,,,-17.34210526315792,,-6.887675691285854,4.078666666666663
1548,,,,,,3.0786666666666633,,,,,,2.3004115226337376,-2.6618055555555884,,,,,,,,,,,,,-13.342105263157919,,-2.6562081573532765,3.0786666666666633
1549,,,,,,7.078666666666663,,,-13.399999999999977,,,-6.499588477366274,-5.661805555555588,,,,-18.891891891891873,,,,,,,-15.19863013698631,-22.39036544850501,-13.342105263157919,,-11.038215013349536,-10.170109639608219
1550,,,,,,10.078666666666663,,,-24.399999999999977,,,-8.499588477366274,7.338194444444412,,,,,,,,,,,-12.898630136986299,-4.390365448505008,,,-5.46195382529108,-2.403442972941548
1551,,,,,,-0.9213333333333367,,,,,,-9.099588477366297,-5.661805555555588,,,,,,,,,5.988950276243088,,-14.598630136986316,-8.590365448504997,,,-5.480462112583908,-8.036776306274882
1552,,,,,,-12.921333333333337,,,,,,-12.899588477366308,-11.661805555555588,,,,,,,,,4.988950276243088,,-16.19863013698631,-15.090365448504997,,,-10.630462112583908,-14.736776306274882
1553,,,,,,8.078666666666663,,,-6.399999999999977,,,-1.3995884773663079,4.338194444444412,,,,-21.891891891891873,,,,,9.988950276243088,,-9.898630136986299,-5.090365448504997,,,-2.7843330709244114,-2.303442972941544
1554,,,,,,,,,,,,-13.999588477366274,-9.661805555555588,2.7727748691099237,,,,,,,,-0.011049723756912044,,-21.19863013698631,-12.590365448504997,,,-9.114777412176693,-10.338740238793795
1555,,,,,,13.078666666666663,,,,,,18.800411522633738,18.33819444444441,,,,-17.391891891891873,,,,,7.988950276243088,,-16.19863013698631,1.909634551495003,,,3.7893336332292455,-0.40344297294154785
1556,,,,,,-20.921333333333337,,,,,,,-25.66180555555559,,,,-35.89189189189187,,,,,0.988950276243088,,-20.3986301369863,-35.790365448505014,,,-22.945846015004836,-25.70344297294155
1557,,,,,,6.078666666666663,,,,,,-12.799588477366285,7.338194444444412,,,,-16.891891891891873,,,,,28.988950276243088,,-10.19863013698631,-6.390365448505008,,,-0.553523509627902,-3.5034429729415515
1558,,,,,,5.078666666666663,,,,,,-17.39958847736628,,,,,-9.391891891891873,,,,,10.988950276243088,,-13.19863013698631,-7.390365448505008,,,-5.21880983530662,-5.170109639608218
1559,,,,,,-21.921333333333337,,,,,,-17.39958847736628,-16.66180555555559,-8.227225130890076,,,-18.891891891891873,,,,,,,-26.19863013698631,-26.39036544850501,,,-19.384405710646924,-20.684388512428683
1560,,,,,,10.078666666666663,,,,,,-1.4995884773662738,4.838194444444412,,,,,,,,,13.988950276243088,,-15.19863013698631,0.20963455149501442,,,2.069537887416099,-1.6367763062748775
1561,,,,,,-12.921333333333337,,,,,,-25.499588477366274,-4.661805555555588,,,,-14.891891891891873,,,,,-0.011049723756912044,,-24.19863013698631,-10.790365448504986,,,-13.282094938199325,-15.97010963960821
1562,,,,,,,,,,,,,0.8381944444444116,,,,,,,,,5.988950276243088,,-25.19863013698631,-10.090365448504997,,,-7.115462716200952,-17.644497792745653
1563,,,,,,3.0786666666666633,,,-18.399999999999977,,,,7.338194444444412,,,,,,,,,,,,0.6096345514949917,,,-1.8433760843484777,1.8441506090808275
1564,,,,,,20.078666666666663,,,,,,6.500411522633726,5.338194444444412,,,,,,,,,1.988950276243088,,,-7.790365448504986,,,5.223171492296581,6.144150609080839
1565,,,,,,,,,,,,,3.3381944444444116,,,,-8.891891891891873,,,,,3.988950276243088,,,-0.09036544850499695,,,-0.4137781549273427,-0.09036544850499695
